timestamp,ceph_mds_cache_recovery_completed,ceph_mds_cache_recovery_started,ceph_num_objects_degraded,ceph_osd_flag_nobackfill,ceph_osd_recovery_bytes,ceph_osd_recovery_ops,ceph_pg_backfilling,ceph_pg_degraded,ceph_pg_forced_recovery,ceph_pg_recovering,ceph_pg_recovery_unfound,ceph_pg_recovery_wait,ceph_cluster_total_bytes,ceph_cluster_total_used_bytes,ceph_osd_up_normal,ceph_osd_up_abnormal,ceph_osd_up_total,ceph_osd_in_normal,ceph_osd_in_abnormal,ceph_osd_in_total,ceph_health_status,ceph_mon_quorum_status,recovery_rate_bps,recovery_rate_ops
09:13.4,2098,2098,0,0,2.32288E+13,5474271,0,0,0,0,0,0,4.60891E+13,2.86569E+13,24,0,24,24,0,24,0,3,,
09:28.5,2098,2098,0,0,2.32288E+13,5474271,0,0,0,0,0,0,4.60891E+13,2.86567E+13,24,0,24,24,0,24,0,3,0,0
09:43.5,2098,2098,0,0,2.32288E+13,5474271,0,0,0,0,0,0,4.60891E+13,2.86566E+13,24,0,24,24,0,24,0,2,0,0
09:58.6,2098,2098,3662863,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86567E+13,16,8,24,24,0,24,1,2,0,0
10:13.7,2098,2098,3662856,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86568E+13,16,8,24,24,0,24,1,2,0,0
10:28.7,2098,2098,3662870,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86568E+13,16,8,24,24,0,24,1,2,0,0
10:43.8,2098,2098,3662871,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.8657E+13,16,8,24,24,0,24,1,2,0,0
10:58.9,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86571E+13,16,8,24,24,0,24,1,2,0,0
11:13.9,2098,2098,3662870,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.8657E+13,16,8,24,24,0,24,1,2,0,0
11:29.0,2098,2098,3662873,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86571E+13,16,8,24,24,0,24,1,2,0,0
11:44.1,2098,2098,3662872,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86572E+13,16,8,24,24,0,24,1,2,0,0
11:59.1,2098,2098,3662870,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86573E+13,16,8,24,24,0,24,1,2,0,0
12:14.2,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.8657E+13,16,8,24,24,0,24,1,2,0,0
12:29.3,2098,2098,3662871,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86571E+13,16,8,24,24,0,24,1,2,0,0
12:44.3,2098,2098,3662881,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86572E+13,16,8,24,24,0,24,1,2,0,0
12:59.4,2098,2098,3662868,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86573E+13,16,8,24,24,0,24,1,2,0,0
13:14.5,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86571E+13,16,8,24,24,0,24,1,2,0,0
13:29.5,2098,2098,3662873,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86571E+13,16,8,24,24,0,24,1,2,0,0
13:44.6,2098,2098,3662872,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86567E+13,16,8,24,24,0,24,1,2,0,0
13:59.7,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86567E+13,16,8,24,24,0,24,1,2,0,0
14:14.7,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86568E+13,16,8,24,24,0,24,1,2,0,0
14:29.8,2098,2098,3662871,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86569E+13,16,8,24,24,0,24,1,2,0,0
14:44.8,2098,2098,3662873,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86569E+13,16,8,24,24,0,24,1,2,0,0
14:59.9,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.8657E+13,16,8,24,24,0,24,1,2,0,0
15:15.0,2098,2098,3662869,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86572E+13,16,8,24,24,0,24,1,2,0,0
15:30.0,2098,2098,3662873,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86572E+13,16,8,24,24,0,24,1,2,0,0
15:45.1,2098,2098,3662872,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86573E+13,16,8,24,24,0,24,1,2,0,0
16:00.2,2098,2098,3662870,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86574E+13,16,8,24,24,0,24,1,2,0,0
16:15.2,2098,2098,3662836,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86572E+13,16,8,24,24,0,24,1,2,0,0
16:30.3,2098,2098,3662839,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.8657E+13,16,8,24,24,0,24,1,2,0,0
16:45.4,2098,2098,3662838,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86565E+13,16,8,24,24,0,24,1,2,0,0
17:00.4,2098,2098,3662835,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86561E+13,16,8,24,24,0,24,1,2,0,0
17:15.5,2098,2098,3662837,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86561E+13,16,8,24,24,0,24,1,2,0,0
17:30.6,2098,2098,3662840,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86558E+13,16,8,24,24,0,24,1,2,0,0
17:45.6,2098,2098,3662837,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86558E+13,16,8,24,24,0,24,1,3,0,0
18:00.7,2098,2098,3662836,0,2.32288E+13,5474271,0,834,0,0,0,0,4.60891E+13,2.86559E+13,16,8,24,24,0,24,1,3,0,0
18:15.8,2098,2098,3521160,0,2.32288E+13,5474165,0,803,0,0,0,0,4.60891E+13,2.86533E+13,18,6,24,24,0,24,1,3,-3498.669665,-7.034769614
18:30.8,2098,2098,1702236,0,2.32351E+13,5477459,71,339,0,1,0,0,4.60891E+13,2.86489E+13,23,1,24,24,0,24,1,3,416750693.7,218.6090887
18:45.9,2098,2098,1049153,0,2.32492E+13,5483852,81,231,0,0,0,0,4.60891E+13,2.86459E+13,24,0,24,24,0,24,1,3,934550918.1,423.827077
19:01.0,2098,2098,756660,0,2.32616E+13,5489433,69,172,0,0,0,0,4.60891E+13,2.86446E+13,24,0,24,24,0,24,1,3,824454023,370.2885657
19:16.1,2098,2098,546961,0,2.32708E+13,5493485,68,127,0,0,0,0,4.60891E+13,2.86436E+13,24,0,24,24,0,24,1,3,607548480,268.772021
19:31.1,2098,2098,362713,0,2.32788E+13,5497014,68,101,0,0,0,0,4.60891E+13,2.86425E+13,24,0,24,24,0,24,1,3,529168732.4,234.2046734
19:46.2,2098,2098,202862,0,2.32857E+13,5500089,54,65,0,0,0,0,4.60891E+13,2.8642E+13,24,0,24,24,0,24,1,3,461526788.5,204.183294
20:01.3,2098,2098,117679,0,2.32899E+13,5501908,37,43,0,0,0,0,4.60891E+13,2.86416E+13,24,0,24,24,0,24,1,3,274430694.5,120.6872712
20:16.3,2098,2098,48436,0,2.3293E+13,5503252,24,24,0,0,0,0,4.60891E+13,2.86415E+13,24,0,24,24,0,24,1,3,205486229.9,89.19711447
20:31.4,2098,2098,8620,0,2.32947E+13,5504027,8,8,0,0,0,0,4.60891E+13,2.86415E+13,24,0,24,24,0,24,1,3,117093793.4,51.41908378
20:46.5,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86416E+13,24,0,24,24,0,24,0,3,18194275.99,7.628020066
21:01.5,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86417E+13,24,0,24,24,0,24,0,3,0,0
21:16.6,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86418E+13,24,0,24,24,0,24,0,3,0,0
21:31.7,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.8642E+13,24,0,24,24,0,24,0,3,0,0
21:46.8,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86417E+13,24,0,24,24,0,24,0,3,0,0
22:01.8,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86419E+13,24,0,24,24,0,24,0,3,0,0
22:16.9,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.8642E+13,24,0,24,24,0,24,0,3,0,0
22:32.0,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86422E+13,24,0,24,24,0,24,0,3,0,0
22:47.1,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86421E+13,24,0,24,24,0,24,0,3,0,0
23:02.1,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86423E+13,24,0,24,24,0,24,0,3,0,0
23:17.2,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86424E+13,24,0,24,24,0,24,0,3,0,0
23:32.3,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86426E+13,24,0,24,24,0,24,0,3,0,0
23:47.4,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86424E+13,24,0,24,24,0,24,0,3,0,0
24:02.4,2098,2098,0,0,2.3295E+13,5504142,0,0,0,0,0,0,4.60891E+13,2.86425E+13,24,0,24,24,0,24,0,3,0,0
