timestamp,workload_size_gb,ceph_osd_recovery_bytes,ceph_osd_recovery_ops,ceph_pg_backfilling,ceph_pg_recovering,ceph_pg_forced_recovery,ceph_osd_flag_nobackfill,ceph_pg_recovery_wait,ceph_pg_recovery_unfound,ceph_mds_cache_recovery_started,ceph_mds_cache_recovery_completed,ceph_num_objects_degraded,ceph_pg_degraded,recovery_time_sec,replication_rate_mbps,net_tx_mbps,net_rx_mbps,disk_write_MBps,disk_reads_completed,cpu_user_delta,cpu_system_delta,cpu_iowait_delta
36:18.9,7074.121841,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
36:36.2,7074.169186,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,31.20751392,47.3391556,4.020502737,11.09297205,0.344344341,0.099374541,0.002888795
36:53.6,7074.183571,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,40.53222046,49.86572589,4.471110594,10.68891186,0.560305864,0.152862933,0.006321399
37:11.0,7074.213436,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,38.18041358,48.92053951,4.241088888,44.05448493,0.556144738,0.197267472,0.006901486
37:28.4,7074.219452,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,34.36874341,48.33460732,4.201418634,11.02920775,0.358449252,0.094782254,0.005744379
37:45.9,7074.254177,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,34.78380694,49.26418701,4.414347884,10.61530169,0.341858372,0.086177987,0.005136436
38:03.3,7074.30912,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,34.8388746,44.01279333,4.035381306,12.26776519,0.664408404,0.20350732,0.00515934
38:20.7,7074.292068,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,48.04467511,56.84066968,27.2564431,12.32261055,0.560275704,0.161806241,0.010940636
38:38.0,7074.365604,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,34.10137399,42.71847043,24.02654092,9.690968848,0.350720777,0.106139183,0.009806338
38:55.4,7074.46138,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,40.01661077,72.80993535,6.441743968,12.33004914,0.357801893,0.104863035,0.005761705
39:12.7,7074.435013,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,44.58112462,49.31021922,4.751935063,9.57983977,0.490533964,0.127538831,0.005770988
39:30.1,7074.504845,6.4185E+12,2196637,0,0,0,0,0,0,0,0,0,0,0,0,3735.675968,3869.848819,307.6426428,3604.638783,0.848657286,0.43955506,0.22293773
39:47.6,7112.638699,6.46049E+12,2220609,124,0,0,0,0,0,0,0,182224,128,0,0,10094.89761,10963.03067,887.6809258,9365.311418,1.473988474,0.866111057,0.641013592
40:05.0,7143.20472,6.49315E+12,2239039,124,0,0,0,0,0,0,0,163845,128,17.384443,15026.103,10229.41661,10564.17057,848.6156811,9224.684392,1.497890959,0.866867003,0.515403341
40:22.3,7174.105198,6.52629E+12,2257519,124,0,0,0,0,0,0,0,145312,128,34.664457,15342.36343,9951.278819,10751.89243,851.2837613,8872.041423,1.622105167,0.872684478,0.561342138
40:39.7,7204.050846,6.55821E+12,2275431,124,0,0,0,0,0,0,0,127463,128,52.044459,14694.09221,9840.590606,10752.28268,877.0893383,8754.026611,1.462600522,0.893555708,0.49079396
40:57.0,7234.363953,6.59058E+12,2293936,124,0,0,0,0,0,0,0,108892,128,69.408459,14912.75974,9992.527341,10847.94905,863.1711308,9085.118636,1.476618291,0.881709284,0.58281502
41:14.3,7264.878159,6.6232E+12,2312330,124,0,0,0,0,0,0,0,90555,128,86.724438,15071.87634,9785.728196,8732.742482,697.9999649,9118.456427,1.372720538,0.825249326,0.44756349
41:31.5,7317.188305,6.6791E+12,2344082,91,0,0,0,0,0,0,0,58701,95,103.920453,26007.38826,8384.438389,5575.415272,445.5981062,7768.311437,1.345660608,0.671667244,0.206443179
41:48.9,7331.063389,6.6964E+12,2353782,74,0,0,0,0,0,0,0,48988,78,121.30447,7960.636065,5430.217374,2977.501976,237.624658,5074.949018,0.859410112,0.414748789,0.075356576
42:06.3,7344.278099,6.71019E+12,2361523,69,0,0,0,0,0,0,0,41239,69,138.696063,6340.461266,3921.814756,2320.645252,186.3100474,3642.679541,0.732537842,0.337519398,0.057499046
42:23.7,7355.135464,6.72182E+12,2368161,59,0,0,0,0,0,0,0,34598,59,156.104463,5347.911565,4013.049606,1931.175211,153.5854952,3666.735599,0.64451644,0.303301854,0.051124744
42:41.1,7364.763065,6.73208E+12,2374065,58,0,0,0,0,0,0,0,28687,58,173.518882,4712.065734,3867.075925,1890.599999,172.9697654,3560.210651,0.859632469,0.356026807,0.064888757
42:58.5,7373.994686,6.74181E+12,2379751,49,0,0,0,0,0,0,0,22993,49,190.928925,4469.344141,3323.051191,1596.676671,130.5177325,3106.310536,0.686385438,0.304996375,0.032165343
